Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
NCP Project Discovery Portal – Current Projects - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=282,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=282,104,134,164,0
"Ministres - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00024.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00024.html,103,112,187,0
"Demander l'affranchissement de droit d'auteur - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07413.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07413.html,96,116,93,0
"RSS feeds - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07032.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07032.html,92,156,50,0
"Search - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/06957.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/06957.html,80,97,89,0
"David McGovern - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07016.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07016.html,70,83,95,0
Access your account - My ISED Account - ISED,http://ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,70,104,95,0
"Demande d'affranchissement de droit d'auteur - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/EABV-9DDLWL,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/EABV-9DDLWL,69,108,95,0
"Home - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/home,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/home,65,81,241,0
Investissements pour les pour les établissements postsecondaires Canadiens - Cartes - Industrie Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=241,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=241,61,107,144,0
